Drug Reaction,stop irritation & stop taking drug,consult nearest hospital & follow up,Follow Prescribed Dosages & Communicate with Healthcare Providers,Blueberries Spinach Broccoli Oranges Avocado
Malaria,Consult nearest hospital & keep mosquitos out,avoid oily food & avoid non veg food,Use mosquito repellent & Stay in screened or air-conditioned accommodations,Papaya Citrus fruits Dark leafy greens Ginger Garlic
Allergy,apply calamine & use ice to compress itching,cover area with bandage,Maintain a Clean Environment & Practice Good Hygiene,Apples Berries Broccoli Spinach Citrus fruits
Hypothyroidism,reduce stress & get proper sleep,Exercise & eat healthy,Maintain a Healthy Diet & Manage Stress,Spinach Berries Sweet potatoes Broccoli and other cruciferous vegetables Pineapple
Psoriasis,wash hands with warm soapy water & consult doctor,stop bleeding using pressure & salt baths,Avoid Skin Trauma & Limit Alcohol Consumption,Turmeric Berries Leafy greens Sweet potatoes Pineapple
GERD,avoid fatty spicy food & maintain healthy weight,avoid lying down after eating & exercise,Maintain a Healthy Weight & Quit Smoking,Bananas Ginger Melons Green Vegetables Oatmeal
Chronic cholestasis,cold bath & consult doctor,anti itch medicine & eat healthy,Eat Small &  Frequent Meals,Beets Artichokes Carrots Leafy Greens Apples
hepatitis A,Consult nearest hospital & avoid fatty spicy food,wash hands through & medication,Vaccination & Avoid contaminated food and water,Citrus Fruits Leafy Greens Berries Garlic Bell Peppers
Osteoarthristis,Acetaminophen & follow up,consult nearest hospital & salt bath,Maintain a Healthy Weight & Quit Smoking,Berries Turmeric Leafy greens Ginger Broccoli
(vertigo) Paroymsal  Positional Vertigo,lie down & avoid abrupt head movment,avoid sudden change in body & relax,Avoid Quick Head Movements,Ginger Bananas Spinach Strawberries Broccoli
Hypoglycemia,lie down on side & drink sugary drinks,check in pulse & consult doctor,Monitor Blood Sugar Levels Regularly & Balanced Diet,Berries Leafy greens Avocado Sweet potatoes Broccoli
Acne,bath twice & drink plenty of water,avoid fatty spicy food & avoid too many products,Keep Your Face Clean & Avoid Touching Your Face,Berries Leafy greens Carrots Cucumbers Tomatoes
Diabetes ,have balanced diet & consult doctor,Exercise & follow up,Healthy Eating & Regular Physical Activity,Non starchy vegetables Berries Apples Avocado Legumes 
Impetigo,soak affected area in warm water & consult doctor,use antibiotics & remove scabs with wet compressed cloth,Maintain Good Hygiene,Garlic Turmeric Berries Leafy greens Citrus fruits 
Hypertension ,Meditation & reduce stress,salt bath & get proper sleep,Limit Alcohol Consumption,"Bananas Leafy greens Berries Garlic

"
Peptic ulcer diseae,avoid fatty spicy food & eliminate milk,consume probiotic food & limit alcohol,Manage Stress,"Cabbage Apples Bananas Broccoli Carrots
"
Dimorphic hemmorhoids(piles),avoid fatty spicy food & warm bath with epsom salt,consume witch hazel & consume alovera juice,Maintain a Healthy Weight,"Prunes Apples Leafy greens Berries Broccoli

"
Common Cold,drink vitamin c rich drinks & avoid cold food,take vapour & keep fever in check,"Frequent Handwashing,Practice Respiratory Hygiene","Citrus fruits Ginger Berries Garlic Spinach
"
Chicken pox,use neem in bathing & take vaccine,consume neem leaves & avoid public places,Vaccination  & Avoid Close Contact,"Citrus fruits Berries Garlic Leafy greens 
"
Cervical spondylosis,use heating pad or cold pack & consult doctor,Exercise & take otc pain reliver,Maintain Good Posture,Pineapple Leafy greens Berries Broccoli Turmeric
Hyperthyroidism,eat healthy & use lemon balm,Massage & take radioactive iodine treatment,Regular Monitoring & Avoid Stimulants,Seaweed Berries Cruciferous Vegetables Leafy Greens Citrus Fruits 
Urinary tract infection,drink plenty of water & drink cranberry juice,increase vitamin c intake & take probiotics,Urinate Regularly,"Cranberries,Blueberries,Pineapple,Celery,Leafy Greens (e.g., Spinach, Kale)"
Varicose veins,lie down flat and raise the leg high & dont stand still for long,use oinments & use vein compression,Maintain a Healthy Weight,Citrus Fruits Berries Leafy Greens Bell Peppers Avocado
AIDS,avoid open cuts & consult doctor,wear ppe if possible & follow up,Avoid Sharing Needles or Syringess,Citrus Fruits Berries Leafy Greens Garlic Sweet Potatoes
Paralysis (brain hemorrhage),Massage & exercise,eat healthy & consult doctor,Healthy Lifestyle,Leafy Greens Berries Citrus Fruits Broccoli Avocado
Typhoid,eat high calorie vegitables & medication,antiboitic therapy & consult doctor,safe Food and Water,Ginger Bananas Yogurt Leafy Greens Citrus Fruits 
Hepatitis B,consult nearest hospital & eat healthy,Vaccination & medication,Avoid Sharing Needles or Syringess,Garlic Turmeric Berries Leafy greens Citrus fruits
Fungal infection,bath twice & keep infected area dry,use detol or neem in bathing water & use clean cloths,Keep Skin Dry,Garlic Ginger Turmeric Coconut Cranberries
Hepatitis C,Consult nearest hospital & eat healthy,Vaccination & medication,Avoid Sharing Needles or Syringess,Garlic Beets Turmeric Berries Leafy Greens
Migraine,Meditation & use poloroid glasses in sun,reduce stress & consult doctor,Maintain Regular Sleep Patterns,Magnesium Rich Foods Spinach Avocado Ginger Berries Blueberries Leafy Greens Bananas
Bronchial Asthma,switch to loose cloothing & seek help,take deep breaths & get away from trigger,Take Medications as Prescribed,"Apples Bananas Spinach Carrots Broccoli
"
Alcoholic hepatitis,stop alcohol consumption & follow up,consult doctor & medication,Limit Alcohol Consumption,Beets Leafy Greens Apples Cruciferous Vegetables Citrus Fruits
Jaundice,drink plenty of water & eat fruits and high fiberous food,consume milk thistle & medication,Get Vaccinated,Apples Beets Carrots Spinach Papaya
Hepatitis E,stop alcohol consumption & consult doctor,Rest & medication,avoid alcohol,Turmeric Garlic Ginger Berries Leafy greens
Dengue,drink papaya leaf juice & keep mosquitos away,avoid fatty spicy food & keep hydrated,Wear Protective Clothing,Papaya Kiwi Leafy greens Coconut water Bananas
Hepatitis D,consult doctor & follow up,Medication & eat healthy,Hepatitis B Vaccination,Garlic Turmeric Berries Leafy greens Cruciferous vegetables
Heart attack,call ambulance & keep calm,chew or swallow asprin,Quit Smoking,Berries Leafy greens Avocado Tomatoes Oranges
Pneumonia,consult doctor & rest,Medication & follow up,Avoiding Smoking & Protecting the Immune System,Citrus fruits Garlic Bell Peppers Broccoli Ginger
Arthritis,Exercise & try acupuncture,use hot and cold therapy & massage,Maintain a Healthy Weight & Balanced Diet,Berries Leafy greens Turmeric Ginger Broccoli
Gastroenteritis,stop eating solid food for while & rest,try taking small sips of water & ease back into eating,Food Safety & Hand Hygiene,Bananas Ginger Apple Carrots Mint
Tuberculosis,cover mouth & medication,consult doctor & rest,Avoid Close Contact with TB Patients,Citrus fruits Bell Peppers Spinach Garlic Carrots
